AAindexName,5-fold-Mean-AUC
FAUJ830101,0.731103786
FINA910104,0.729765177
GARJ730101,0.729131898
GUYH850101,0.728213002
LEVM760101,0.728198102
RADA880108,0.72699102
FINA910102,0.72698634
OLSK800101,0.726959299
KIDA850101,0.726722831
NADH010102,0.726512011
JANJ780101,0.726424113
ZIMJ680104,0.726174683
JANJ780103,0.725978828
NADH010103,0.725667305
JACR890101,0.725122764
ROSM880102,0.724099782
OOBM770101,0.724066861
GUYH850104,0.723580966
JANJ780102,0.723451678
JANJ790101,0.723239669
EISD840101,0.72266748
RICJ880113,0.722211935
JANJ790102,0.720745626
NAKH900110,0.720698179
FINA910103,0.720211286
WOLS870103,0.719670069
HUTJ700103,0.719657564
JURD980101,0.719380267
EISD860102,0.719214678
CHOC760102,0.718650125
GUYH850105,0.717693883
CHOC760103,0.717375401
FASG760103,0.716131003
KYTJ820101,0.715597337
COWR900101,0.715086801
WILM950101,0.715019992
NAKH920108,0.714733226
RADA880107,0.714616223
BASU050103,0.711153223
WILM950103,0.71079613
RACS770102,0.710730278
KRIW710101,0.710654372
FUKS010104,0.709716584
AURR980116,0.709083743
VINM940101,0.70902722
FAUJ880104,0.70897384
KRIW790101,0.708476908
CHOC760104,0.707475107
KLEP840101,0.70625693
NADH010104,0.706035155
PRAM900101,0.705339982
MIYS990101,0.705320532
PONP800102,0.70494765
FASG890101,0.704519286
ZHOH040103,0.704510648
FUKS010101,0.704169722
BIOV880101,0.704057093
NISK860101,0.703883838
MIYS990104,0.703790932
MIYS990102,0.70356359
CORJ870101,0.70344203
MIYS990105,0.703194253
PONP800103,0.703148363
MIYS850101,0.703033856
MIYS990103,0.70301785
ZIMJ680105,0.703007814
ENGD860101,0.702871002
DESM900102,0.702353046
HUTJ700102,0.70221836
CASG920101,0.701789835
PONP930101,0.701600672
GUOD860101,0.700973587
WOLS870101,0.700851916
KRIW790102,0.700715495
OOBM770103,0.700639407
PONP800108,0.699353681
CORJ870106,0.698948476
MEIH800102,0.698633355
DESM900101,0.698598667
NAKH900111,0.698535189
NAKH920105,0.698512147
BIOV880102,0.698494581
RACS770103,0.698134571
PUNT030101,0.698013093
EISD860101,0.697802392
WOEC730101,0.697470295
VINM940103,0.697252507
HOPA770101,0.696654768
OOBM770102,0.69622177
MEIH800103,0.696109923
PONP800101,0.695796239
CORJ870102,0.695705629
LEVM760105,0.694538443
GRAR740102,0.694256057
